1;1;536;3;445
1;2;536;9;567
1;3;536;0;510
1;4;536;2;472
1;5;498;3;623
1;6;497;4;597
1;7;497;4;574
1;8;504;4;679
1;9;508;4;497
1;10;504;6;560
1;11;495;2;588
1;12;490;4;543
2;1;656;9;434
2;2;652;3;460
2;3;652;7;530
2;4;652;9;477
2;5;616;7;563
2;6;611;2;545
2;7;608;7;571
2;8;592;5;583
2;9;592;4;540
2;10;585;4;515
2;11;569;7;650
2;12;565;9;606
3;1;658;6;505
3;2;654;8;544
3;3;654;16;639
3;4;654;10;549
3;5;622;9;682
3;6;621;5;613
3;7;614;9;740
3;8;610;10;640
3;9;611;13;541
3;10;610;12;595
3;11;589;15;570
3;12;585;13;599
4;1;609;14;573
4;2;607;21;521
4;3;607;14;693
4;4;607;15;602
4;5;594;12;707
4;6;595;17;824
4;7;593;11;901
4;8;574;22;850
4;9;575;15;767
4;10;571;14;740
4;11;568;14;708
4;12;560;17;728
5;1;683;17;269
5;2;683;11;257
5;3;683;8;328
5;4;683;9;261
5;5;642;11;316
5;6;638;8;332
5;7;627;10;289
5;8;623;10;365
5;9;614;8;301
5;10;605;12;300
5;11;599;13;332
5;12;595;9;328
6;1;654;22;527
6;2;652;33;497
6;3;652;29;620
6;4;652;33;516
6;5;769;34;592
6;6;767;22;644
6;7;762;24;726
6;8;756;25;690
6;9;735;22;628
6;10;731;42;687
6;11;1074;34;643
6;12;1069;27;562
7;1;494;6;407
7;2;495;10;576
7;3;495;21;436
7;4;495;11;391
7;5;469;15;519
7;6;465;8;486
7;7;457;8;414
7;8;435;14;500
7;9;430;8;471
7;10;428;14;514
7;11;415;12;565
7;12;409;17;596
8;1;589;26;443
8;2;587;22;433
8;3;587;26;533
8;4;587;27;419
8;5;575;17;502
8;6;572;22;539
8;7;569;27;575
8;8;569;23;568
8;9;563;18;601
8;10;563;23;585
8;11;618;17;621
8;12;616;12;556
9;1;317;6;229
9;2;318;6;143
9;3;318;3;172
9;4;318;6;183
9;5;281;7;195
9;6;279;1;222
9;7;274;8;196
9;8;270;8;220
9;9;271;5;185
9;10;269;12;196
9;11;268;9;241
9;12;266;18;250
10;1;488;18;254
10;2;487;17;245
10;3;487;15;276
10;4;487;22;282
10;5;455;14;270
10;6;451;15;331
10;7;445;20;256
10;8;437;11;278
10;9;437;14;329
10;10;436;30;253
10;11;433;23;271
10;12;428;15;281
11;1;616;22;231
11;2;619;29;228
11;3;619;34;263
11;4;619;26;215
11;5;609;10;246
11;6;604;20;266
11;7;601;21;272
11;8;597;22;267
11;9;595;21;212
11;10;591;25;274
11;11;685;32;301
11;12;682;24;206
12;1;470;21;199
12;2;469;15;156
12;3;469;19;222
12;4;469;15;216
12;5;457;15;211
12;6;458;9;205
12;7;459;13;231
12;8;455;13;232
12;9;452;21;253
12;10;451;24;265
12;11;448;20;212
12;12;444;27;222
13;1;503;20;161
13;2;503;27;129
13;3;503;24;146
13;4;503;19;111
13;5;497;22;112
13;6;492;24;102
13;7;492;17;102
13;8;489;12;136
13;9;488;15;152
13;10;484;21;152
13;11;491;19;144
13;12;486;19;179
14;1;796;25;610
14;2;796;32;458
14;3;796;28;492
14;4;796;39;548
14;5;783;29;523
14;6;780;35;508
14;7;767;27;647
14;8;767;41;648
14;9;755;30;657
14;10;747;39;708
14;11;840;29;628
14;12;832;26;600
15;1;343;15;74
15;2;343;19;75
15;3;343;13;83
15;4;343;11;94
15;5;336;16;68
15;6;334;5;86
15;7;332;7;106
15;8;329;13;98
15;9;326;9;108
15;10;324;14;121
15;11;323;13;123
15;12;322;11;133
16;1;424;4;56
16;2;425;7;42
16;3;425;7;100
16;4;425;12;57
16;5;414;16;95
16;6;417;4;90
16;7;420;5;72
16;8;417;5;92
16;9;417;14;97
16;10;416;11;96
16;11;412;6;100
16;12;412;11;108
17;1;362;11;209
17;2;362;11;148
17;3;362;12;210
17;4;362;7;184
17;5;358;14;229
17;6;357;10;221
17;7;357;7;270
17;8;377;18;312
17;9;388;17;290
17;10;385;16;352
17;11;382;18;253
17;12;381;24;227
18;1;563;18;88
18;2;563;14;95
18;3;563;13;132
18;4;563;8;125
18;5;550;17;136
18;6;555;21;140
18;7;555;27;162
18;8;550;23;179
18;9;547;7;167
18;10;545;15;187
18;11;541;21;161
18;12;539;13;124
19;1;395;2;26
19;2;395;6;32
19;3;395;5;33
19;4;395;5;20
19;5;386;6;45
19;6;379;7;31
19;7;381;8;20
19;8;377;11;21
19;9;376;5;23
19;10;377;3;29
19;11;375;9;34
19;12;376;2;34
20;1;316;1;16
20;2;315;2;15
20;3;315;0;9
20;4;315;3;9
20;5;310;1;11
20;6;313;2;9
20;7;309;1;7
20;8;309;2;10
20;9;310;0;3
20;10;310;0;8
20;11;310;3;14
20;12;310;2;8
21;1;356;6;16
21;2;357;2;16
21;3;357;7;23
21;4;357;4;20
21;5;352;3;25
21;6;355;3;26
21;7;355;5;11
21;8;356;2;22
21;9;355;3;46
21;10;355;4;26
21;11;354;5;29
21;12;355;4;32
22;1;284;6;24
22;2;285;4;19
22;3;285;7;20
22;4;285;2;15
22;5;280;8;21
22;6;282;2;19
22;7;280;4;11
22;8;279;5;6
22;9;279;4;8
22;10;281;8;12
22;11;279;5;16
22;12;276;5;8
23;1;386;3;19
23;2;385;2;18
23;3;385;2;25
23;4;385;6;14
23;5;380;4;17
23;6;380;4;17
23;7;377;4;11
23;8;377;4;16
23;9;377;5;9
23;10;377;3;14
23;11;375;3;14
23;12;372;3;18
24;1;365;16;29
24;2;364;3;26
24;3;364;10;40
24;4;364;7;38
24;5;357;11;21
24;6;356;6;30
24;7;354;7;28
24;8;351;5;27
24;9;349;12;25
24;10;349;7;38
24;11;346;9;38
24;12;346;15;39
25;1;304;5;15
25;2;304;2;21
25;3;304;1;20
25;4;304;2;11
25;5;299;3;17
25;6;295;1;19
25;7;294;3;21
25;8;291;1;34
25;9;291;5;23
25;10;292;3;19
25;11;289;3;19
25;12;288;3;18
26;1;578;17;136
26;2;579;6;131
26;3;579;13;146
26;4;579;11;160
26;5;577;5;207
26;6;579;6;178
26;7;578;11;170
26;8;581;16;173
26;9;582;12;142
26;10;581;15;171
26;11;618;12;208
26;12;617;14;162
